[1/50], train loss: {'value': 1.591662}, train acc: {'value': 0.5768}, train IoU: {'value': 0.1139}, val loss: {'value': 1.605469}, val acc: {'value': 0.5873}, val IoU: {'value': 0.114}, lr: [0.0003]
[26/50], train loss: {'value': 0.313}, train acc: {'value': 0.7332}, train IoU: {'value': 0.1764}, val loss: {'value': 0.312336}, val acc: {'value': 0.7404}, val IoU: {'value': 0.1757}, lr: [0.0003]
[27/50], train loss: {'value': 0.305245}, train acc: {'value': 0.7165}, train IoU: {'value': 0.189}, val loss: {'value': 0.304648}, val acc: {'value': 0.7224}, val IoU: {'value': 0.1881}, lr: [0.0003]
[28/50], train loss: {'value': 0.298077}, train acc: {'value': 0.7083}, train IoU: {'value': 0.1948}, val loss: {'value': 0.297331}, val acc: {'value': 0.7148}, val IoU: {'value': 0.1943}, lr: [0.0003]
[29/50], train loss: {'value': 0.290934}, train acc: {'value': 0.7267}, train IoU: {'value': 0.1802}, val loss: {'value': 0.290466}, val acc: {'value': 0.7331}, val IoU: {'value': 0.1799}, lr: [0.0003]
[30/50], train loss: {'value': 0.284286}, train acc: {'value': 0.7374}, train IoU: {'value': 0.1745}, val loss: {'value': 0.283755}, val acc: {'value': 0.7453}, val IoU: {'value': 0.1741}, lr: [0.0003]
[31/50], train loss: {'value': 0.277835}, train acc: {'value': 0.7138}, train IoU: {'value': 0.1979}, val loss: {'value': 0.277377}, val acc: {'value': 0.7201}, val IoU: {'value': 0.1973}, lr: [0.0003]
[32/50], train loss: {'value': 0.272417}, train acc: {'value': 0.7339}, train IoU: {'value': 0.1817}, val loss: {'value': 0.271779}, val acc: {'value': 0.7406}, val IoU: {'value': 0.1808}, lr: [0.0003]
[33/50], train loss: {'value': 0.266246}, train acc: {'value': 0.7254}, train IoU: {'value': 0.1903}, val loss: {'value': 0.265792}, val acc: {'value': 0.7309}, val IoU: {'value': 0.1898}, lr: [0.0003]
[34/50], train loss: {'value': 0.260761}, train acc: {'value': 0.7246}, train IoU: {'value': 0.1887}, val loss: {'value': 0.260334}, val acc: {'value': 0.7309}, val IoU: {'value': 0.1885}, lr: [0.0003]
[35/50], train loss: {'value': 0.25549}, train acc: {'value': 0.7284}, train IoU: {'value': 0.1845}, val loss: {'value': 0.255085}, val acc: {'value': 0.7367}, val IoU: {'value': 0.1838}, lr: [0.0003]
[36/50], train loss: {'value': 0.250401}, train acc: {'value': 0.7261}, train IoU: {'value': 0.1862}, val loss: {'value': 0.250072}, val acc: {'value': 0.7332}, val IoU: {'value': 0.1858}, lr: [0.0003]
[37/50], train loss: {'value': 0.245626}, train acc: {'value': 0.7458}, train IoU: {'value': 0.1788}, val loss: {'value': 0.245332}, val acc: {'value': 0.7531}, val IoU: {'value': 0.1779}, lr: [0.0003]
[38/50], train loss: {'value': 0.241174}, train acc: {'value': 0.7274}, train IoU: {'value': 0.1872}, val loss: {'value': 0.240784}, val acc: {'value': 0.7349}, val IoU: {'value': 0.1869}, lr: [0.0003]
[39/50], train loss: {'value': 0.236629}, train acc: {'value': 0.7382}, train IoU: {'value': 0.1844}, val loss: {'value': 0.2363}, val acc: {'value': 0.7461}, val IoU: {'value': 0.1835}, lr: [0.0003]
[40/50], train loss: {'value': 0.232384}, train acc: {'value': 0.7354}, train IoU: {'value': 0.1854}, val loss: {'value': 0.232078}, val acc: {'value': 0.744}, val IoU: {'value': 0.1845}, lr: [0.0003]
[41/50], train loss: {'value': 0.228368}, train acc: {'value': 0.7333}, train IoU: {'value': 0.1841}, val loss: {'value': 0.227999}, val acc: {'value': 0.7419}, val IoU: {'value': 0.1836}, lr: [0.0003]
[42/50], train loss: {'value': 0.224389}, train acc: {'value': 0.7217}, train IoU: {'value': 0.1957}, val loss: {'value': 0.224117}, val acc: {'value': 0.7292}, val IoU: {'value': 0.1951}, lr: [0.0003]
[43/50], train loss: {'value': 0.220599}, train acc: {'value': 0.7403}, train IoU: {'value': 0.1835}, val loss: {'value': 0.220347}, val acc: {'value': 0.7474}, val IoU: {'value': 0.1828}, lr: [0.0003]
[44/50], train loss: {'value': 0.217052}, train acc: {'value': 0.72}, train IoU: {'value': 0.1954}, val loss: {'value': 0.216764}, val acc: {'value': 0.7282}, val IoU: {'value': 0.1945}, lr: [0.0003]
[45/50], train loss: {'value': 0.213471}, train acc: {'value': 0.7437}, train IoU: {'value': 0.1802}, val loss: {'value': 0.21325}, val acc: {'value': 0.7533}, val IoU: {'value': 0.1797}, lr: [0.0003]
[46/50], train loss: {'value': 0.210033}, train acc: {'value': 0.7329}, train IoU: {'value': 0.1894}, val loss: {'value': 0.209785}, val acc: {'value': 0.742}, val IoU: {'value': 0.1886}, lr: [0.0003]
[47/50], train loss: {'value': 0.206797}, train acc: {'value': 0.7356}, train IoU: {'value': 0.1875}, val loss: {'value': 0.206564}, val acc: {'value': 0.7447}, val IoU: {'value': 0.1867}, lr: [0.0003]
[48/50], train loss: {'value': 0.203647}, train acc: {'value': 0.7376}, train IoU: {'value': 0.1867}, val loss: {'value': 0.203337}, val acc: {'value': 0.7458}, val IoU: {'value': 0.1854}, lr: [0.0003]
[49/50], train loss: {'value': 0.200543}, train acc: {'value': 0.7217}, train IoU: {'value': 0.1982}, val loss: {'value': 0.200287}, val acc: {'value': 0.7293}, val IoU: {'value': 0.1972}, lr: [0.0003]
[50/50], train loss: {'value': 0.197553}, train acc: {'value': 0.7337}, train IoU: {'value': 0.1908}, val loss: {'value': 0.197319}, val acc: {'value': 0.7423}, val IoU: {'value': 0.1897}, lr: [0.0003]
